Date,Domain,City,Balance,Total_Transaction,Gender,Age,NumOfProducts,HasCrCard,Exited,EstimatedSalary
1/1/2022,MEDICAL,Daman,841025,2521,Male,41,1,0,1,164040.94
1/1/2022,INVESTMENTS,Ambala,388211,1150,Male,42,1,1,1,40014.76
1/1/2022,EDUCATION,Ara,1190426,2080,Male,43,1,1,0,113410.49
1/1/2022,INTERNATIONAL,Trichy,522106,1753,Male,45,1,1,0,87107.57
1/1/2022,INVESTMENTS,Akola,861076,1447,Male,19,1,0,0,45613.75
1/1/2022,INTERNATIONAL,Konark,316227,1778,Female,66,1,1,1,1643.11
1/1/2022,INVESTMENTS,Betul,1130802,2015,Male,51,1,1,0,46775.28
1/1/2022,RETAIL,Ranchi,399336,1630,Male,35,1,0,0,84509.57
1/1/2022,PUBLIC,Patiala,958103,533,Female,27,2,0,0,126494.82
1/1/2022,INVESTMENTS,Ahmedabad,900899,2235,Male,33,2,0,0,178798.13
1/1/2022,RETAIL,Trichy,621790,705,Male,56,1,1,0,99398.36
1/1/2022,EDUCATION,Pune,651546,2419,Male,26,1,1,0,92840.67
1/1/2022,INVESTMENTS,Bidar,418787,1350,Female,36,2,1,0,27758.36
1/1/2022,MEDICAL,Ranchi,545171,519,Female,34,1,1,0,110431.51
1/1/2022,EDUCATION,Indore,851047,1152,Male,43,2,1,0,196673.28
1/1/2022,RESTRAUNT,Srinagar,299768,1460,Female,35,2,0,0,113656.85
1/1/2022,EDUCATION,Bombay,1058947,1866,Female,21,1,1,0,18203
1/1/2022,RESTRAUNT,Lucknow,532836,550,Male,58,4,1,1,28373.86
1/1/2022,RETAIL,Kolkata,546797,1634,Male,29,1,1,0,33953.87
1/1/2022,RESTRAUNT,Kanpur,446286,454,Female,37,1,0,0,44203.55
1/1/2022,RETAIL,Tirumala,835821,1937,Female,25,2,1,0,58426.81
1/1/2022,RETAIL,Srinagar,876479,640,Male,36,2,0,0,145562.4
1/1/2022,RESTRAUNT,Bombay,854720,2115,Female,21,2,1,0,22388
1/1/2022,INTERNATIONAL,Durg,552250,2470,Male,55,2,1,0,139161.64
1/1/2022,EDUCATION,Lunglei,1135012,2082,Female,32,1,1,0,148210.64
1/1/2022,EDUCATION,Vellore,514241,2177,Male,33,1,0,0,194239.63
1/1/2022,PUBLIC,Ambala,504341,1687,Female,41,2,1,0,98301.61
1/1/2022,EDUCATION,Hyderabad,926642,757,Female,34,2,0,0,171413.66
1/1/2022,PUBLIC,Goa,1022559,1132,Female,32,1,1,1,136458.19
1/1/2022,PUBLIC,Bidar,584793,686,Female,36,2,0,0,26019.59
1/1/2022,INTERNATIONAL,Madurai,658117,1955,Female,34,1,1,0,159235.29
1/1/2022,PUBLIC,Kanpur,903174,2533,Female,46,2,1,0,1907.66
1/1/2022,RETAIL,Amritsar,955566,1572,Female,75,2,1,0,114675.75
1/1/2022,INTERNATIONAL,Ranchi,1121965,1344,Male,22,1,1,1,128643.35
1/1/2022,PUBLIC,Daman,1144547,2072,Male,30,2,1,0,151869.35
1/1/2022,EDUCATION,Amritsar,339646,2033,Female,46,3,1,1,93251.42
1/1/2022,EDUCATION,Hyderabad,366576,1727,Female,28,2,1,0,156791.36
1/1/2022,PUBLIC,Bikaner,662063,2162,Female,44,3,1,1,174205.22
1/1/2022,PUBLIC,Bidar,906414,2547,Male,45,2,1,0,147132.46
1/1/2022,RETAIL,Durg,714630,1701,Female,36,2,1,0,109614.57
1/1/2022,INVESTMENTS,Kochin,561069,2521,Male,29,2,1,0,172290.61
1/1/2022,PUBLIC,Pune,1014565,2314,Male,42,2,0,0,85982.47
1/1/2022,INTERNATIONAL,Ajmer,456820,638,Male,35,1,0,0,121277.78
1/1/2022,RETAIL,Kanpur,1077425,2302,Male,41,1,0,0,64595.25
1/1/2022,EDUCATION,Ara,560935,1220,Male,29,2,1,0,197276.13
1/1/2022,MEDICAL,Betul,957569,1366,Male,22,2,0,0,99645.04
1/1/2022,RETAIL,Daman,374143,1483,Male,34,2,0,0,6534.18
1/1/2022,EDUCATION,Doda,931420,1536,Female,40,1,1,0,161848.03
1/1/2022,INTERNATIONAL,Kolkata,812575,1576,Female,44,2,0,0,167162.43
1/1/2022,EDUCATION,Lucknow,875990,570,Male,31,1,1,0,41970.72
1/1/2022,RETAIL,Lucknow,982594,1303,Male,36,2,1,0,60536.56
1/1/2022,PUBLIC,Srinagar,1156449,1027,Female,65,1,1,1,177655.68
1/1/2022,RESTRAUNT,Patiala,994607,1179,Female,46,2,1,1,30984.59
1/1/2022,EDUCATION,Hyderabad,892042,658,Male,32,1,1,0,10054.53
1/1/2022,RESTRAUNT,Ranchi,566970,1837,Female,36,1,0,0,36976.52
1/1/2022,EDUCATION,Betul,325462,2405,Male,33,1,0,0,71862.79
1/1/2022,EDUCATION,Kota,362553,551,Male,35,1,1,1,99449.86
1/1/2022,INVESTMENTS,Patiala,920300,1133,Male,30,1,0,0,63082.88
1/1/2022,EDUCATION,Bikaner,886262,2332,Male,39,2,1,0,27231.26
1/1/2022,RESTRAUNT,Durg,1115719,2062,Male,42,1,0,0,86797.41
1/1/2022,RETAIL,Surat,624262,639,Male,36,1,0,0,22994.32
1/1/2022,RETAIL,Goa,822331,420,Male,28,2,0,1,101300.94
1/1/2022,RESTRAUNT,Goa,324382,873,Female,30,2,1,0,74169.13
1/1/2022,RETAIL,Mathura,1147042,2002,Female,37,1,1,0,115638.29
1/1/2022,RETAIL,Kolkata,725687,892,Female,41,2,1,0,31766.3
1/1/2022,MEDICAL,Patiala,743705,1417,Female,31,1,1,1,199725.39
1/1/2022,INVESTMENTS,Banglore,393022,2450,Male,34,2,1,0,120834.48
1/1/2022,EDUCATION,Ara,1080755,412,Male,34,2,0,0,38131.77
1/1/2022,INVESTMENTS,Kannur,361770,2118,Male,39,1,0,0,100130.95
1/1/2022,EDUCATION,Srinagar,1119374,2103,Female,39,2,1,0,141069.88
1/1/2022,PUBLIC,Kota,1049127,863,Female,48,1,1,0,198129.36
1/1/2022,MEDICAL,Kanpur,808770,2341,Female,28,1,0,0,183646.41
1/1/2022,MEDICAL,Ranchi,1151839,1040,Male,42,1,1,1,110265.24
1/1/2022,RESTRAUNT,Madurai,1122599,1539,Female,52,1,0,1,8636.05
1/1/2022,RETAIL,Tirumala,1097787,1138,Male,56,1,1,1,46824.08
1/1/2022,EDUCATION,Kochin,479489,1761,Female,41,2,1,0,171378.77
1/1/2022,RETAIL,Durg,960074,1176,Male,24,1,1,0,167256.35
1/1/2022,INTERNATIONAL,Doda,905355,1625,Female,34,2,1,0,124226.16
1/1/2022,INTERNATIONAL,Ahmedabad,363105,1196,Female,33,1,1,0,114935.21
1/1/2022,RESTRAUNT,Bikaner,522053,1830,Male,38,1,1,0,35608.88
1/1/2022,RESTRAUNT,Kota,1034473,2219,Male,25,2,0,0,16459.37
1/1/2022,INVESTMENTS,Akola,959282,417,Male,39,2,1,0,124411.08
,,,,2500,Female,50,2,1,,34941.23
,,,,1932,Female,34,1,0,,167784.28
,,,,1721,Male,40,1,0,,93165.34
,,,,1573,Male,48,1,1,,75161.25
,,,,2049,Female,35,2,0,,8590.83
,,,,1519,Female,44,1,1,,189543.9
,,,,1813,Female,34,2,1,,180427.24
,,,,2098,Female,43,1,1,,193318.33
,,,,606,Female,52,1,1,,159123.82
,,,,1463,Male,31,1,1,,126213.84
,,,,1463,Male,21,1,1,,54141.5
,,,,1035,Female,29,2,1,,141075.51
,,,,1093,Male,37,1,0,,24495.03
,,,,2013,Male,44,1,1,,74836.34
,,,,2068,Male,32,2,0,,878.87
,,,,1654,Male,32,2,1,,89520.75
,,,,1686,Female,48,1,1,,149892.79
,,,,1362,Female,42,2,1,,180800.42
,,,,2304,Female,37,1,1,,98646.22
,,,,1202,Male,43,2,1,,109041.53
,,,,2431,Male,57,1,1,,17941.16
,,,,1492,Female,33,2,0,,82996.47
,,,,2042,Male,28,2,1,,92067.35
,,,,1789,Female,73,1,0,,104719.66
,,,,1892,Male,33,1,0,,112687.57
,,,,541,Female,22,1,0,,84699.56
,,,,1475,Female,30,2,1,,83473.82
,,,,501,Male,49,1,0,,47125.11
,,,,2035,Female,36,2,1,,106977.8
,,,,1652,Male,29,1,1,,55582.54
,,,,480,Male,31,2,1,,139874.43
,,,,1559,Male,24,1,1,,162503.48
,,,,860,Female,41,1,1,,196499.96
,,,,570,Male,39,2,1,,40721.24
,,,,1303,Female,24,2,0,,53134.3
,,,,1027,Male,29,1,1,,164017.89
,,,,1179,Male,27,2,1,,155996.96
,,,,658,Female,44,1,1,,5472.7
,,,,1837,Female,30,1,1,,112187.11
,,,,2405,Female,40,2,1,,146457.83
,,,,551,Male,35,1,1,,27286.1
,,,,1133,Male,30,2,1,,130553.47
,,,,2332,Male,36,2,0,,179351.89
,,,,2062,Male,40,1,0,,94774.12
,,,,639,Male,55,1,1,,8080.85
,,,,420,Female,45,1,1,,19482.5
,,,,873,Female,65,2,1,,48071.61
,,,,2002,Female,45,2,1,,174531.27
,,,,892,Female,42,2,1,,55470.78
,,,,1417,Female,50,1,1,,8546.87
,,,,2450,Female,32,2,1,,95857.18
,,,,412,Female,39,1,1,,194945.8
,,,,2118,Male,37,1,0,,131521.72
,,,,2103,Female,30,2,0,,196108.51
,,,,863,Male,34,2,1,,148564.76
,,,,2341,Male,41,2,0,,92982.61
,,,,1040,Female,36,2,1,,17675.36
,,,,1539,Male,40,2,0,,114996.43
,,,,1138,Male,32,1,1,,86957.42
,,,,1761,Male,29,2,1,,128077.8
,,,,1176,Male,35,1,1,,600.36
,,,,1625,Male,32,2,1,,43001.46
,,,,1196,Female,37,1,1,,158591.12
,,,,1830,Male,57,2,1,,47847.19
,,,,2219,Male,35,1,1,,10488.44
,,,,417,Female,30,1,1,,5978.2
,,,,2400,Male,42,1,0,,121409.06
,,,,1932,Male,50,1,0,,146145.93
,,,,1721,Male,38,2,1,,14374.86
,,,,1573,Female,33,1,1,,94670.77
,,,,2049,Female,37,1,1,,179670.31
,,,,1519,Male,41,1,0,,199304.74
,,,,1813,Female,34,1,1,,151954.39
,,,,2098,Female,45,1,1,,142513.5
,,,,606,Male,45,1,0,,158264.62
,,,,1463,Male,33,2,1,,169381.9
,,,,1463,Female,31,2,1,,169915.02
,,,,1035,Female,41,2,0,,88852.47
,,,,1093,Male,34,1,1,,40645.81
,,,,2013,Female,26,2,0,,60427.3
,,,,2068,Male,47,1,0,,157959.02
,,,,1654,Female,46,1,1,,133007.34
,,,,1686,Male,33,2,0,,176576.62
,,,,1362,Female,43,2,1,,34888.04
,,,,2304,Female,54,1,1,,28737.71
,,,,1202,Female,31,2,1,,98178.57
,,,,2431,Female,30,1,0,,125010.24
,,,,1492,Female,42,2,1,,167984.61
,,,,2042,Female,33,1,1,,4861.72
,,,,1789,Female,45,1,1,,108872.45
,,,,1892,Male,37,2,1,,198252.88
,,,,541,Male,30,2,1,,26960.31
,,,,1475,Female,39,3,1,,85746.52
,,,,501,Female,50,1,1,,77206.25
,,,,2035,Female,29,1,1,,61048.53
,,,,1652,Male,72,2,0,,111981.19
,,,,480,Female,40,2,1,,62232.6
,,,,1559,Male,37,2,0,,156105.03
,,,,860,Male,20,2,0,,150135.38
,,,,2082,Male,67,2,0,,93146.11
,,,,787,Male,42,1,1,,33462.94
,,,,1883,Male,29,1,1,,144375
,,,,1181,Male,43,3,1,,55803.96
,,,,1448,Male,46,3,1,,89048.46
,,,,1876,Female,28,2,0,,162812.16
,,,,1141,Female,38,2,1,,136259.65
,,,,1691,Male,39,1,1,,124052.97
,,,,1173,Male,37,2,0,,74158.8
,,,,2427,Female,67,1,1,,45071.09
,,,,1405,Female,34,2,1,,62030.06
,,,,1355,Male,40,1,1,,131953.23
,,,,1780,Female,26,2,1,,79414
,,,,430,Male,26,2,1,,199638.56
,,,,2196,Male,24,1,1,,157577.29
,,,,2430,Male,54,1,1,,134420.75
,,,,1704,Male,36,1,0,,99805.99
,,,,884,Male,34,2,1,,97932.68
,,,,2467,Male,79,2,0,,170968.99
,,,,1536,Male,37,1,1,,57558.95
,,,,1296,Female,28,1,0,,176713.47
,,,,2521,Female,41,2,0,,34283.23
,,,,1150,Female,34,2,1,,198637.34
,,,,2080,Female,34,2,0,,156917.12
,,,,1753,Male,30,1,1,,50457.2
,,,,1447,Male,38,1,1,,140075.55
,,,,1778,Male,42,2,1,,65323.11
,,,,2015,Female,48,1,1,,64323.24
,,,,1630,Female,32,2,1,,14956.44
,,,,533,Female,26,1,0,,111879.21
,,,,2235,Male,31,1,1,,18606.23
,,,,705,Female,36,1,1,,123137.01
,,,,2419,Male,34,2,1,,148528.24
,,,,1350,Female,36,2,1,,13898.31
,,,,519,Male,39,1,0,,81259.25
,,,,1152,Female,35,1,1,,161051.75
,,,,1460,Female,41,2,0,,191599.67
,,,,1866,Male,34,3,1,,48559.19
,,,,550,Male,34,2,1,,186339.74
,,,,1634,Male,30,2,1,,33159.37
,,,,454,Female,28,1,0,,93883.53
,,,,1937,Female,37,2,1,,110899.3
,,,,640,Male,62,1,1,,11199.04
,,,,2115,,53,2,1,,189992.97
,,,,2470,,35,1,0,,164255.69
,,,,2082,,46,1,1,,152167.79
,,,,2177,,39,2,1,,33949.67
,,,,1687,,29,2,1,,68143.93
,,,,757,,35,1,1,,47251.79
,,,,1132,,42,1,1,,25885.72
,,,,686,,22,2,0,,192633.85
,,,,1955,,40,2,1,,34577.36
,,,,2533,,29,1,1,,161229.84
,,,,1572,,32,1,1,,100816.29
,,,,1344,,26,1,1,,181694.44
,,,,2072,,34,2,1,,79078.91
,,,,2033,,42,1,0,,137316.32
,,,,1727,,41,2,1,,194926.86
,,,,2162,,27,2,1,,51285.49
,,,,2547,,34,1,0,,150401.53
,,,,1701,,38,2,1,,112491.96
,,,,2521,,25,1,1,,73656.38
,,,,2314,,31,1,1,,106636.89
,,,,638,,44,3,1,,155853.52
,,,,2302,,58,1,1,,162599.51
,,,,1220,,33,2,1,,103737.82
,,,,1366,,31,2,1,,160990.27
,,,,1483,,36,1,0,,15462.84
,,,,1536,,35,2,1,,10334.05
,,,,1576,,33,2,1,,190686.16
,,,,570,,33,1,0,,94440.45
,,,,1303,,31,1,1,,28257.63
,,,,1027,,43,1,1,,170034.95
,,,,1179,,35,2,1,,31824.29
,,,,658,,50,1,1,,127166.49
,,,,1837,,31,1,1,,44937.01
,,,,2405,,80,2,1,,188603.07
,,,,551,,30,1,1,,145111.37
,,,,1133,,38,2,0,,171463.83
,,,,2332,,59,1,1,,182822.5
,,,,2062,,36,1,1,,87213.33
,,,,639,,37,2,0,,57175.32
,,,,420,,49,1,1,,120540.83
,,,,873,,42,2,1,,28714.34
,,,,2002,,22,1,1,,85426.28
,,,,892,,24,1,1,,46170.75
,,,,1417,,57,1,1,,64448.36
,,,,2450,,30,1,1,,16278.97
,,,,412,,40,1,1,,182855.42
,,,,2118,,31,2,0,,50404.72
,,,,2103,,30,2,1,,107640.25
,,,,863,,35,1,1,,134132.65
,,,,2341,,35,2,1,,103480.69
,,,,1040,,46,1,1,,108761.05
,,,,1539,,35,1,1,,179012.3
,,,,1138,,26,2,1,,95145.14
,,,,1761,,50,2,0,,72143.44
,,,,1176,,40,1,1,,19162.89
,,,,1625,,44,2,0,,144680.18
,,,,1196,,30,1,1,,177772.03
,,,,1830,,37,1,1,,5597.94
,,,,2219,,29,1,1,,116828.51
,,,,417,,32,2,0,,174652.51
,,,,2500,,33,2,1,,2010.98
,,,,1932,,39,1,1,,14109.85
,,,,1721,,39,1,1,,43527.4
,,,,1573,,40,2,0,,86099.23
,,,,2049,,31,1,0,,161574.19
,,,,1519,,47,2,1,,38970.14
,,,,1813,,22,2,0,,127587.22
,,,,2098,,25,2,1,,30380.12
,,,,606,,43,2,1,,90908.95
,,,,1463,,34,2,1,,138275.01
,,,,1463,,59,1,1,,32171.79
,,,,1035,,32,1,1,,126143.23
,,,,1093,,39,2,1,,129892.93
,,,,2013,,32,2,1,,102416.84
,,,,2068,,39,1,1,,18719.67
,,,,1654,,32,1,1,,61936.22
,,,,1686,,25,2,1,,78358.94
,,,,1362,,45,2,1,,147224.27
,,,,2304,,30,2,1,,160979.66
,,,,1202,,57,2,1,,132298.49
,,,,2431,,34,1,1,,174248.52
,,,,1492,,41,1,1,,123547.28
,,,,2042,,58,2,0,,32790.02
,,,,1789,,28,2,0,,181543.67
,,,,1892,,45,1,0,,2319.96
,,,,541,,50,1,1,,189543.19
,,,,1475,,29,2,1,,10940.4
,,,,501,,68,2,1,,199493.38
,,,,2035,,33,1,1,,188193.25
,,,,1652,,42,2,1,,172572.64
,,,,480,,35,2,1,,189339.6
,,,,1559,,34,2,0,,53512.16
,,,,860,,29,1,1,,34004.44
,,,,570,,42,1,1,,10598.29
,,,,1303,,75,2,0,,113428.77
,,,,1027,,31,2,1,,183487.98
,,,,1179,,31,1,1,,187658.09
,,,,658,,35,2,1,,172459.39
,,,,1837,,39,1,0,,21016
,,,,2405,,45,3,1,,122381.02
,,,,551,,35,1,1,,128123.66
,,,,1133,,30,1,1,,19570.63
,,,,2332,,39,3,0,,188150.6
,,,,2062,,50,2,1,,111020.24
,,,,639,,36,2,1,,123775.15
,,,,420,,30,2,0,,146700.22
,,,,873,,28,2,1,,145251.35
,,,,2002,,44,1,1,,82463.69
,,,,892,,66,1,1,,15928.49
,,,,1417,,46,2,1,,45886.33
,,,,2450,,62,2,1,,186489.95
,,,,412,,45,2,0,,162922.65
,,,,2118,,21,2,1,,9262.77
,,,,2103,,29,1,1,,84932.4
,,,,863,,38,1,1,,71557.12
,,,,2341,,46,2,1,,77405.95
,,,,1040,,38,2,0,,417.41
,,,,1539,,24,1,1,,71405.17
,,,,1138,,37,2,0,,153400.24
,,,,1761,,33,1,1,,371.05
,,,,1176,,32,1,1,,67789.99
,,,,1625,,39,2,0,,145894.9
,,,,1196,,66,1,1,,183840.51
,,,,1830,,52,1,1,,108887.44
,,,,2219,,38,1,1,,154071.27
,,,,417,,52,2,0,,179291.85
,,,,,,36,2,0,,56937.43
,,,,,,23,2,1,,112239.03
,,,,,,36,1,1,,45909.87
,,,,,,49,1,0,,173779.25
,,,,,,37,2,1,,125696.26
,,,,,,37,2,1,,159585.61
,,,,,,41,1,1,,106761.47
,,,,,,23,2,0,,129590.18
,,,,,,38,2,1,,80006.65
,,,,,,31,1,1,,140451.52
,,,,,,41,3,1,,187929.43
,,,,,,35,2,1,,167155.36
,,,,,,26,2,0,,191420.71
,,,,,,61,1,0,,11384.45
,,,,,,39,1,1,,94898.1
,,,,,,46,2,0,,106781.59
,,,,,,28,2,0,,159508.52
,,,,,,60,1,1,,93524.19
,,,,,,38,2,1,,87168.46
,,,,,,40,1,1,,8128.32
,,,,,,35,1,1,,125518.32
,,,,,,39,1,1,,48963.59
,,,,,,26,1,1,,98368.24
,,,,,,39,2,1,,148584.61
,,,,,,45,1,1,,27474.81
,,,,,,40,1,1,,76192.21
,,,,,,40,1,0,,134600.94
,,,,,,57,1,1,,72467.99
,,,,,,41,2,0,,199645.45
,,,,,,33,1,1,,42749.85
,,,,,,37,1,1,,136050.44
,,,,,,33,1,0,,73564.44
,,,,,,51,1,0,,85578.63
,,,,,,30,2,1,,129826.89
,,,,,,35,2,0,,119666
,,,,,,38,2,1,,68052.08
,,,,,,42,1,1,,164104.74
,,,,,,35,1,0,,80190.36
,,,,,,31,2,1,,84126.75
,,,,,,34,2,1,,70179
,,,,,,46,1,1,,118024.1
,,,,,,47,1,0,,145704.19
,,,,,,26,1,0,,183049.41
,,,,,,37,1,0,,120906.83
,,,,,,40,1,1,,100433.83
,,,,,,38,1,0,,138777
,,,,,,47,2,1,,124694.99
,,,,,,38,1,1,,40084.32
,,,,,,40,2,0,,119232.33
,,,,,,31,1,0,,43921.36
,,,,,,44,1,1,,62222.81
,,,,,,39,1,0,,56577
,,,,,,36,2,1,,164253.35
,,,,,,33,1,1,,7666.73
,,,,,,38,2,1,,68487.51
,,,,,,43,1,0,,199273.98
,,,,,,37,1,1,,186062.36
,,,,,,29,2,1,,195711.16
,,,,,,39,2,1,,36692.17
,,,,,,25,2,1,,106920.57
,,,,,,32,1,1,,48725.68
,,,,,,26,2,1,,167036.94
,,,,,,33,1,1,,68777.26
,,,,,,32,2,1,,18924.92
,,,,,,38,3,1,,71905.77
,,,,,,35,2,1,,64833.28
,,,,,,35,2,1,,184843.77
,,,,,,27,1,1,,176730.02
,,,,,,37,1,1,,20629.4
,,,,,,26,1,1,,28415.36
,,,,,,28,2,1,,77231.27
,,,,,,33,2,1,,102750.7
,,,,,,46,1,0,,34580.8
,,,,,,31,1,1,,183598.77
,,,,,,40,2,1,,147358.27
,,,,,,38,1,1,,108469.2
,,,,,,29,1,1,,20612.82
,,,,,,34,1,0,,181196.76
,,,,,,23,2,1,,160249.1
,,,,,,37,3,0,,110783.28
,,,,,,37,2,1,,144995.33
,,,,,,61,2,1,,150227.85
,,,,,,35,1,1,,53718.28
,,,,,,37,2,1,,75248.3
,,,,,,39,1,1,,14353.43
,,,,,,30,2,0,,130486.57
,,,,,,55,1,1,,100127.71
,,,,,,29,1,1,,196356.17
,,,,,,41,1,1,,9983.88
,,,,,,38,2,0,,118974.77
,,,,,,47,1,0,,194998.34
,,,,,,38,2,0,,134901.34
,,,,,,36,2,1,,72924.56
,,,,,,32,2,1,,101057.95
,,,,,,40,1,1,,142838.64
,,,,,,26,2,1,,127059.04
,,,,,,58,1,0,,116503.92
,,,,,,32,2,1,,54405.79
,,,,,,54,2,1,,88721.84
,,,,,,60,1,1,,74135.48
,,,,,,44,2,1,,111346.22
,,,,,,41,1,0,,194902.16
,,,,,,31,2,1,,31474.27
,,,,,,30,1,1,,21198.39
,,,,,,40,1,1,,186976.6
,,,,,,22,2,1,,117202.19
,,,,,,37,2,1,,143739.29
,,,,,,31,2,1,,161811.23
,,,,,,38,2,1,,98090.91
,,,,,,34,2,0,,71095.41
,,,,,,34,1,1,,13107.24
,,,,,,51,1,1,,67110.59
,,,,,,38,2,1,,88225.02
,,,,,,56,3,0,,62256.87
,,,,,,37,2,1,,135925.72
,,,,,,48,2,0,,177815.87
,,,,,,58,1,0,,126471.13
,,,,,,35,1,1,,188574.12
,,,,,,56,1,1,,119175.45
,,,,,,37,2,1,,139093.73
,,,,,,32,1,1,,115916.55
,,,,,,48,1,0,,96463.25
,,,,,,31,2,1,,112349.51
,,,,,,43,2,1,,165303.79
,,,,,,26,2,1,,166031.08
,,,,,,48,1,1,,38411.79
,,,,,,30,1,1,,77783.35
,,,,,,57,2,1,,29871.79
,,,,,,26,1,0,,59747.63
,,,,,,32,1,1,,79919.13
,,,,,,35,1,1,,76773.53
,,,,,,40,1,1,,54018.93
,,,,,,59,1,1,,70649.64
,,,,,,35,2,1,,59093.39
,,,,,,34,2,1,,127569.8
,,,,,,62,3,0,,18260.98
,,,,,,28,1,1,,73275.96
,,,,,,37,2,1,,136129.49
,,,,,,26,2,1,,153237.59
,,,,,,42,1,1,,106841.12
,,,,,,51,1,1,,109078.35
,,,,,,49,3,0,,87822.14
,,,,,,44,2,1,,126644.98
,,,,,,38,2,1,,47414.15
,,,,,,30,2,1,,41879.99
,,,,,,49,2,1,,75808.1
